text,category
AI-powered portfolio analytics platform using natural language processing and Machine Learning,AI / Machine Learning
Image classification system using PyTorch convolutional neural networks for medical imaging,AI / Machine Learning
Sentiment analysis tool using BERT transformer model and Scikit-Learn text vectorizer,AI / Machine Learning
Predictive churn model using Random Forest and XGBoost machine learning algorithms,AI / Machine Learning
LLM chatbot assistant using Groq AI and RAG knowledge retrieval pipeline,AI / Machine Learning
Speech recognition and voice command processing software using deep neural networks,AI / Machine Learning
Recommendation engine using collaborative filtering and matrix factorization,AI / Machine Learning
Computer vision object detection system using YOLOv8 and OpenCV for traffic monitoring,AI / Machine Learning
Autonomous self-driving vehicle simulation using reinforcement learning in Q-learning,AI / Machine Learning
Generative AI image synthesizer using Stable Diffusion and PyTorch model weights,AI / Machine Learning
Natural language translation model using Transformer encoder decoder architecture,AI / Machine Learning
Anomaly detection pipeline for cybersecurity logs using Autoencoder neural networks,AI / Machine Learning
Handwritten digit recognizer built using Convolutional Neural Networks CNN in Keras,AI / Machine Learning
Real-time face recognition and attendance tracking application using OpenCV and Dlib,AI / Machine Learning
Spam detection classifier built with TF-IDF vectorizer and Naive Bayes in Scikit-Learn,AI / Machine Learning
Deep Q-network DQN agent trained to play Retro Arcade games using PyTorch,AI / Machine Learning
Customer segmentation clustering model using K-Means and Principal Component Analysis PCA,AI / Machine Learning
Text summarization pipeline using pretrained Hugging Face Transformers and BART,AI / Machine Learning
Credit card fraud detection model using Logistic Regression and SMOTE oversampling,AI / Machine Learning
Facial emotion recognition system using Transfer Learning with ResNet50,AI / Machine Learning
Stock price movement predictor using Long Short-Term Memory LSTM neural networks,AI / Machine Learning
Chatbot engine built with Rasa NLU for automated customer service support,AI / Machine Learning
Medical diagnosis helper using Random Forest classifier on patient health metrics,AI / Machine Learning
Audio sound classification system using Librosa spectral features and SVM,AI / Machine Learning
Object tracking and counting system for industrial assembly lines using OpenCV,AI / Machine Learning
Real-time AI asset management platform using Computer Vision and PyTorch inference pipeline,AI / Machine Learning
Multi-modal AI vision-language model for image captioning using CLIP and PyTorch,AI / Machine Learning
Zero-shot document classification engine using Large Language Models and LangChain,AI / Machine Learning
AI semantic search and vector similarity retrieval engine using ChromaDB and Sentence Transformers,AI / Machine Learning
Deep reinforcement learning agent for algorithmic stock trading using PPO and Gymnasium,AI / Machine Learning
Real-time pose estimation and fitness exercise counter using MediaPipe and OpenCV,AI / Machine Learning
Automated question answering system fine-tuned on RoBERTa with PyTorch Lightning,AI / Machine Learning
Graph Neural Network GNN for molecular property prediction using PyTorch Geometric,AI / Machine Learning
Real-time AI background removal and video segmentation using DeepLabV3+,AI / Machine Learning
Knowledge graph embeddings and entity resolution using Node2Vec and PyTorch,AI / Machine Learning
End-to-end speech-to-text transcription engine using OpenAI Whisper and PyTorch,AI / Machine Learning
Time series anomaly detection using Temporal Convolutional Networks TCN,AI / Machine Learning
Self-supervised representation learning for audio classification using Wav2Vec2,AI / Machine Learning
AI code completion engine using fine-tuned CodeLlama and Hugging Face Transformers,AI / Machine Learning
Automated defect detection on manufacturing surfaces using Vision Transformers ViT,AI / Machine Learning
Few-shot learning classifier for low-resource NLP tasks using Prototypical Networks,AI / Machine Learning
Retrieval-Augmented Generation RAG system with reranking using Cohere and LlamaIndex,AI / Machine Learning
Real-time neural style transfer application applying artistic styles using PyTorch,AI / Machine Learning
Bayesian optimization framework for machine learning hyperparameter tuning,AI / Machine Learning
Edge AI inference pipeline optimized for ONNX Runtime and TensorRT,AI / Machine Learning
Deepfake video detection model using 3D Convolutional Neural Networks and PyTorch,AI / Machine Learning
AI prompt evaluation and automated jailbreak vulnerability scanner using LLMs,AI / Machine Learning
Medical ECG arrhythmia classification using 1D CNN and Bidirectional LSTM,AI / Machine Learning
Autonomous drone path planning and obstacle avoidance using Deep Q-Learning,AI / Machine Learning
Language identification classifier for 50 languages using fastText and Scikit-Learn,AI / Machine Learning
Full-stack e-commerce web application built with Angular frontend and FastAPI backend,Web Development
"Real-time messaging dashboard using React, Node.js, Express, and WebSocket protocol",Web Development
"Responsive portfolio website created with HTML5, CSS3, JavaScript, and Tailwind CSS",Web Development
Content management system CMS with PostgreSQL database and RESTful API endpoints,Web Development
SaaS customer billing portal built using Next.js and Supabase authentication,Web Development
Online learning management portal with Angular UI and Django REST framework backend,Web Development
Vue.js dashboard panel with Vuex state management and Axios API integration,Web Development
"Server-rendered blog platform using Nuxt.js, GraphQL API, and Headless CMS",Web Development
Progressive Web App PWA for offline task management using Service Workers,Web Development
RESTful API gateway built with Node.js Express and JWT authentication middleware,Web Development
"Single page web app SPA using React Router, Redux Toolkit, and Material UI",Web Development
Customer relationship management CRM web portal built with ASP.NET Core and SQL Server,Web Development
"Online video streaming web platform built with HTML5 Video API, Node.js, and HLS",Web Development
Job search portal web application built with Ruby on Rails and PostgreSQL,Web Development
Social media timeline feed web app built with SvelteKit and Firebase Firestore,Web Development
Collaborative digital whiteboard web application using HTML5 Canvas and Socket.io,Web Development
Enterprise resource planning ERP web portal built with Spring Boot and Angular,Web Development
Subscription payment billing integration web service using Stripe API and Express,Web Development
Markdown note-taking web application with local storage synchronization in TypeScript,Web Development
Event booking and ticket reservation web application using Laravel and MySQL,Web Development
Real-time multiplayer browser chess game using WebSockets and Node.js backend,Web Development
Doctor appointment scheduling web portal with calendar views in React and Tailwind,Web Development
Decentralized web3 crypto portfolio tracker built with Web3.js and React frontend,Web Development
Hotel room reservation booking web portal using Django and Bootstrap UI,Web Development
Micro-frontend architecture portal for enterprise dashboards using Webpack Module Federation,Web Development
SaaS multi-tenant project management dashboard with Angular 17 Standalone Components and Signals,Web Development
B2B wholesale ordering platform built with Next.js 14 App Router and Prisma ORM,Web Development
"Real-time collaborative code editor web app using Monaco Editor, Node.js, and WebSockets",Web Development
Developer portfolio generator and template builder built with React and Tailwind CSS,Web Development
GraphQL API server for social networking platform using Apollo Server and PostgreSQL,Web Development
Modern admin dashboard UI template with dark mode using Angular and PrimeNG,Web Development
Online food delivery ordering system web application with Express backend and MongoDB,Web Development
"Inventory management and barcode tracking web app built with Vue 3, Vite, and Pinia",Web Development
Real estate property listing portal with interactive map filtering using Mapbox and React,Web Development
"Peer-to-peer video conferencing web application built with WebRTC, Node.js, and Socket.io",Web Development
Customizable CMS blog engine with MDX support built with Astro and Tailwind CSS,Web Development
FastAPI asynchronous microservice backend with Pydantic validation and PostgreSQL asyncpg,Web Development
Serverless web application on AWS Lambda and API Gateway with React frontend,Web Development
HR payroll and employee attendance management web portal using Spring Boot and React,Web Development
Interactive survey and form builder web application with drag-and-drop UI in Svelte,Web Development
"Automated email campaign marketing platform with Node.js, BullMQ, and Redis",Web Development
Gym membership and fitness class booking web system built with Laravel and Blade,Web Development
Online auction and bidding platform with real-time WebSocket updates and Stripe Checkout,Web Development
Customer feedback widget and satisfaction survey embed script in vanilla TypeScript,Web Development
API documentation viewer and interactive playground built with OpenAPI and React,Web Development
Cloud file storage drive web application with drag-and-drop upload and Supabase storage,Web Development
"Multi-vendor digital marketplace web app using Next.js, Stripe Connect, and Tailwind",Web Development
Kanban sprint board web application with real-time team synchronization in React and Firebase,Web Development
Web-based audio synthesizer and beat sequencer using Web Audio API and Vue.js,Web Development
Freelance services marketplace platform with messaging and milestone payments in Angular,Web Development
Cross-platform fitness tracking mobile app built with Flutter and Firebase Firestore,Mobile Development
Native iOS budgeting and personal finance app written in Swift and SwiftUI,Mobile Development
Android cryptocurrency wallet and price alert app built with Kotlin and Jetpack Compose,Mobile Development
Cross-platform social networking mobile app built with React Native and Expo,Mobile Development
Offline-first task management mobile application using SQLite and Flutter Dart,Mobile Development
Meditation and mindfulness mobile app with ambient audio player in React Native,Mobile Development
Recipe and meal planner mobile application built with Swift and CoreData for iOS,Mobile Development
Android music player app with custom equalizer and Android MediaSession API,Mobile Development
Real-time GPS delivery tracking mobile app using Google Maps API and Flutter,Mobile Development
Language learning flashcard mobile app with spaced repetition using React Native,Mobile Development
Habit tracker mobile application with interactive widgets in SwiftUI and iOS WidgetKit,Mobile Development
Mobile barcode and QR code scanner app using Kotlin CameraX on Android,Mobile Development
Cross-platform podcast streaming mobile app built with Flutter and AudioPlayers,Mobile Development
Smart home IoT device controller mobile app using React Native and MQTT protocol,Mobile Development
Augmented Reality AR interior design mobile app built with ARKit and Swift on iOS,Mobile Development
Ride-sharing passenger and driver mobile app with live routing in Flutter,Mobile Development
Android wallpaper gallery mobile application built with Kotlin Coroutines and Glide,Mobile Development
Expense splitting and bill sharing mobile app using React Native and Firebase Auth,Mobile Development
Mobile document scanner app with image perspective correction in Swift and VisionKit,Mobile Development
Offline dictionary and vocabulary builder mobile application in Flutter,Mobile Development
Personal journal and diary mobile application with biometric FaceID unlock in SwiftUI,Mobile Development
Android health and step counter app using Google Fit API and Kotlin Room database,Mobile Development
Food ordering and delivery mobile app built with React Native and Redux Toolkit,Mobile Development
Mobile weather forecasting application with radar maps in Flutter and OpenWeatherMap,Mobile Development
Mobile password vault application with secure enclave hardware encryption in Swift,Mobile Development
E-commerce shopping mobile app with Apple Pay and Google Pay integration in Flutter,Mobile Development
Native Android note-taking app with stylus support and Jetpack Compose canvas,Mobile Development
Cross-platform real estate property finder mobile app with React Native and Mapbox,Mobile Development
Mobile video editing and filter app using Metal shaders and AVFoundation in Swift,Mobile Development
Blood pressure and vital signs logging mobile app for patients in Kotlin,Mobile Development
Mobile flashcard quiz game app with multiplayer Bluetooth connectivity in Flutter,Mobile Development
Travel itinerary organizer and offline packing checklist mobile app in SwiftUI,Mobile Development
Mobile parking space reservation app with QR code gate pass in React Native,Mobile Development
Android battery health monitor and charging speed tracker in Kotlin,Mobile Development
Mobile crypto portfolio tracker with customizable home screen widgets in Flutter,Mobile Development
Sleep cycle tracker and smart alarm mobile application using CoreMotion in Swift,Mobile Development
Cross-platform plant care reminder mobile app with photo log in React Native,Mobile Development
Mobile water drinking tracker with dynamic push notifications in Flutter,Mobile Development
Android podcast player with offline download caching using Kotlin and ExoPlayer,Mobile Development
Mobile event ticket wallet with PassKit Apple Wallet integration in Swift,Mobile Development
Real-time chat mobile app with end-to-end Signal protocol encryption in Flutter,Mobile Development
Mobile workout logger with custom rest timer and sound cues in React Native,Mobile Development
Native iOS white noise sleep sound generator app with background audio in Swift,Mobile Development
Android file manager and zip archive extractor app in Kotlin,Mobile Development
Cross-platform car rental booking mobile app with Flutter and Supabase,Mobile Development
Mobile barcode price comparison app with local SQLite cache in React Native,Mobile Development
Mobile pet health records and vet appointment scheduler in SwiftUI,Mobile Development
Android voice recorder app with audio waveform visualizer in Kotlin,Mobile Development
Cross-platform real estate virtual tour mobile app in Flutter and WebView,Mobile Development
Mobile golf scorecard and GPS rangefinder app in React Native,Mobile Development
Exploratory data analysis EDA of global housing market trends using Pandas and Seaborn,Data Science & Analytics
Customer lifetime value CLV prediction pipeline using statistical regression in Python,Data Science & Analytics
Interactive COVID-19 epidemiological data dashboard using Plotly Dash and Pandas,Data Science & Analytics
Automated ETL data pipeline extracting web metrics into PostgreSQL using Apache Airflow,Data Science & Analytics
A/B testing experimentation statistical analysis framework with Python and SciPy,Data Science & Analytics
Financial market risk assessment and Value-at-Risk VaR calculation using Monte Carlo,Data Science & Analytics
Healthcare patient electronic health records EHR data cleaning and imputation pipeline,Data Science & Analytics
E-commerce sales revenue forecasting dashboard using Prophet and Streamlit,Data Science & Analytics
Geospatial spatial analysis of urban traffic congestion using GeoPandas and Folium,Data Science & Analytics
Big data analytics processing pipeline over billion-row clickstream dataset using PySpark,Data Science & Analytics
Supply chain demand forecasting pipeline using ARIMA time series modeling,Data Science & Analytics
HR employee turnover predictive analysis using Logistic Regression and Decision Trees,Data Science & Analytics
