text,category
"AI-powered portfolio analytics platform using natural language processing and Machine Learning","AI / Machine Learning"
"Image classification system using PyTorch convolutional neural networks for medical imaging","AI / Machine Learning"
"Sentiment analysis tool using BERT transformer model and Scikit-Learn text vectorizer","AI / Machine Learning"
"Predictive churn model using Random Forest and XGBoost machine learning algorithms","AI / Machine Learning"
"LLM chatbot assistant using Groq AI and RAG knowledge retrieval pipeline","AI / Machine Learning"
"Speech recognition and voice command processing software using deep neural networks","AI / Machine Learning"
"Recommendation engine using collaborative filtering and matrix factorization","AI / Machine Learning"
"Computer vision object detection system using YOLOv8 and OpenCV for traffic monitoring","AI / Machine Learning"
"Autonomous self-driving vehicle simulation using reinforcement learning in Q-learning","AI / Machine Learning"
"Generative AI image synthesizer using Stable Diffusion and PyTorch model weights","AI / Machine Learning"
"Natural language translation model using Transformer encoder decoder architecture","AI / Machine Learning"
"Anomaly detection pipeline for cybersecurity logs using Autoencoder neural networks","AI / Machine Learning"
"Handwritten digit recognizer built using Convolutional Neural Networks CNN in Keras","AI / Machine Learning"
"Real-time face recognition and attendance tracking application using OpenCV and Dlib","AI / Machine Learning"
"Spam detection classifier built with TF-IDF vectorizer and Naive Bayes in Scikit-Learn","AI / Machine Learning"
"Deep Q-network DQN agent trained to play Retro Arcade games using PyTorch","AI / Machine Learning"
"Customer segmentation clustering model using K-Means and Principal Component Analysis PCA","AI / Machine Learning"
"Text summarization pipeline using pretrained Hugging Face Transformers and BART","AI / Machine Learning"
"Credit card fraud detection model using Logistic Regression and SMOTE oversampling","AI / Machine Learning"
"Facial emotion recognition system using Transfer Learning with ResNet50","AI / Machine Learning"
"Stock price movement predictor using Long Short-Term Memory LSTM neural networks","AI / Machine Learning"
"Chatbot engine built with Rasa NLU for automated customer service support","AI / Machine Learning"
"Medical diagnosis helper using Random Forest classifier on patient health metrics","AI / Machine Learning"
"Audio sound classification system using Librosa spectral features and SVM","AI / Machine Learning"
"Object tracking and counting system for industrial assembly lines using OpenCV","AI / Machine Learning"
"Full-stack e-commerce web application built with Angular frontend and FastAPI backend","Web Development"
"Real-time messaging dashboard using React, Node.js, Express, and WebSocket protocol","Web Development"
"Responsive portfolio website created with HTML5, CSS3, JavaScript, and Tailwind CSS","Web Development"
"Content management system CMS with PostgreSQL database and RESTful API endpoints","Web Development"
"SaaS customer billing portal built using Next.js and Supabase authentication","Web Development"
"Online learning management portal with Angular UI and Django REST framework backend","Web Development"
"Vue.js dashboard panel with Vuex state management and Axios API integration","Web Development"
"Server-rendered blog platform using Nuxt.js, GraphQL API, and Headless CMS","Web Development"
"Progressive Web App PWA for offline task management using Service Workers","Web Development"
"RESTful API gateway built with Node.js Express and JWT authentication middleware","Web Development"
"Single page web app SPA using React Router, Redux Toolkit, and Material UI","Web Development"
"Customer relationship management CRM web portal built with ASP.NET Core and SQL Server","Web Development"
"Online video streaming web platform built with HTML5 Video API, Node.js, and HLS","Web Development"
"Job search portal web application built with Ruby on Rails and PostgreSQL","Web Development"
"Real estate listing web portal using SvelteKit, Prisma ORM, and Supabase Database","Web Development"
"E-learning quiz platform built with Angular, RxJS, and Firebase Realtime Database","Web Development"
"Restaurant food ordering web app built with React, Redux, and Express API","Web Development"
"Social blogging web platform with markdown editor built with Next.js and Tailwind","Web Development"
"Hotel reservation management dashboard built with Vue 3, Pinia, at Typescript","Web Development"
"Inventory tracking web system built with Laravel, Blade templates, at MySQL","Web Development"
"Event ticket booking web application built with Spring Boot and Angular","Web Development"
"Developer portfolio showcase web template built with HTML5, CSS3, and JavaScript","Web Development"
"Online survey web app built with React, Node.js, and MongoDB","Web Development"
"Digital storefront e-commerce web application built with Angular and Express","Web Development"
"Web-based code editor and snippet sharing platform using React and WebAssembly","Web Development"
"Cross-platform mobile application built with React Native for iOS and Android devices","Mobile Development"
"Flutter mobile app for fitness tracking and calorie counting with offline SQLite sync","Mobile Development"
"Native Android application developed using Kotlin, Jetpack Compose, and Retrofit HTTP client","Mobile Development"
"iOS mobile app built using Swift and SwiftUI for local restaurant discovery","Mobile Development"
"Mobile wallet and payment app for Android and iOS using Flutter framework","Mobile Development"
"Mobile social network client built with React Native, Firebase Auth, and Push Notifications","Mobile Development"
"GPS location tracking mobile app using Native Android SDK and Google Maps API","Mobile Development"
"Mobile food delivery application built with Flutter, Provider, and Firebase","Mobile Development"
"Task management mobile app for iOS and Android built with React Native and Expo","Mobile Development"
"Weather forecast mobile app built with Swift, CoreLocation, and OpenWeather API","Mobile Development"
"Personal budget tracker mobile app built with Kotlin, Room Database, and MVVM","Mobile Development"
"Music streaming player mobile app built with Flutter, JustAudio, and AudioService","Mobile Development"
"E-book reader mobile app built with React Native and Async Storage","Mobile Development"
"Language learning flashcard mobile app built with Flutter and Hive Database","Mobile Development"
"Ride-hailing mobile app client built with React Native, Redux, and Mapbox","Mobile Development"
"Mobile recipe finder app built with Android Kotlin, Coroutines, and Dagger Hilt","Mobile Development"
"Habit tracker mobile application built with iOS SwiftUI and CoreData","Mobile Development"
"Mobile notes app with biometric authentication built with React Native","Mobile Development"
"Smart home IoT controller mobile app built with Flutter and MQTT protocol","Mobile Development"
"Medication reminder mobile app built with Android Kotlin and AlarmManager","Mobile Development"
"Mobile expense splitter app built with React Native and Firebase Firestore","Mobile Development"
"Barcode scanner mobile shopping app built with Flutter and MobileScanner","Mobile Development"
"Event companion mobile app built with Swift and EventKit for iOS","Mobile Development"
"Mobile podcast player app built with Flutter, RxJava, and AudioPlayers","Mobile Development"
"Mobile workout planner app built with React Native, Reanimated, and SQLite","Mobile Development"
"Data visualization dashboard created with Python Pandas, Matplotlib, and Streamlit","Data Science & Analytics"
"ETL data pipeline for aggregating financial transactions and generating monthly reporting metrics","Data Science & Analytics"
"Exploratory data analysis project inspecting global temperature trends using Jupyter Notebooks","Data Science & Analytics"
"Big Data processing script using PySpark and SQL queries for web log analytics","Data Science & Analytics"
"Interactive business intelligence dashboard built with Dash, Plotly, and Pandas DataFrames","Data Science & Analytics"
"Automated web scraper and data processing pipeline using BeautifulSoup and Scrapy","Data Science & Analytics"
"Customer churn prediction dataset analysis using Seaborn, Pandas, and SciPy","Data Science & Analytics"
"Stock market data analysis notebook evaluating moving averages and RSI indicators","Data Science & Analytics"
"Healthcare data pipeline cleaning patient records using Python Polars and DuckDB","Data Science & Analytics"
"Social media sentiment data analysis pipeline using Pandas and WordCloud","Data Science & Analytics"
"E-commerce sales revenue analysis dashboard using PowerBI and Python data processing","Data Science & Analytics"
"Real-time sensor data aggregation pipeline using Apache Kafka and Apache Spark","Data Science & Analytics"
"COVID-19 epidemiological data visualization pipeline using Plotly and Folium","Data Science & Analytics"
"Financial fraud detection data analytics using SQL queries and Python Pandas","Data Science & Analytics"
"Customer lifetime value analytics notebook using Scikit-Learn and Lifelines","Data Science & Analytics"
"Web traffic clickstream data processing pipeline using AWS Athena and Python","Data Science & Analytics"
"Retail inventory analytics script calculating reorder points and demand forecasting","Data Science & Analytics"
"Credit risk evaluation data analytics notebook using Pandas and Statsmodels","Data Science & Analytics"
"Energy consumption forecasting pipeline using Python and Prophet time series","Data Science & Analytics"
"Supply chain delay data analysis pipeline using Jupyter Notebooks and Seaborn","Data Science & Analytics"
"User cohort retention rate data analysis script using SQL and Python DataFrames","Data Science & Analytics"
"Product reviews text analytics pipeline using NLTK and Pandas","Data Science & Analytics"
"Flight delay analytics pipeline processing aviation datasets with PySpark","Data Science & Analytics"
"Hotel pricing analytics script calculating dynamic pricing metrics with Python","Data Science & Analytics"
"Housing market trend data analytics using Python, Geopandas, and Folium","Data Science & Analytics"
"Automated CI/CD deployment pipeline using GitHub Actions, Docker containers, and AWS EC2","Cloud & DevOps"
"Microservices infrastructure orchestration using Kubernetes and Helm charts","Cloud & DevOps"
"Infrastructure as Code IaC automation using Terraform and Ansible for cloud provisioning","Cloud & DevOps"
"Serverless API deployment using AWS Lambda, API Gateway, and CloudWatch monitoring","Cloud & DevOps"
"Dockerized application stack with Docker Compose and Nginx reverse proxy","Cloud & DevOps"
"Centralized log management pipeline using ElasticSearch, Logstash, and Kibana ELK stack","Cloud & DevOps"
"Cloud infrastructure monitoring system using Prometheus and Grafana dashboards","Cloud & DevOps"
"Automated cloud backup and disaster recovery script for AWS S3 and RDS","Cloud & DevOps"
"Continuous integration CI pipeline for automated unit testing using Jenkins","Cloud & DevOps"
"Kubernetes ingress controller setup with Cert-Manager and Let Encrypt SSL","Cloud & DevOps"
"Infrastructure automation playbook using Ansible for Linux server hardening","Cloud & DevOps"
"AWS CloudFormation template for multi-region VPC and EC2 auto-scaling groups","Cloud & DevOps"
"GitOps deployment automation using ArgoCD and Kubernetes clusters","Cloud & DevOps"
"Cloud security compliance auditor for AWS IAM roles and Security Groups","Cloud & DevOps"
"Multi-cloud deployment orchestration using Pulumi and TypeScript","Cloud & DevOps"
"Container image security vulnerability scanner using Trivy and Docker","Cloud & DevOps"
"Automated SSL certificate renewal script using Certbot and Nginx","Cloud & DevOps"
"Azure DevOps pipeline for automated build, test, and release management","Cloud & DevOps"
"High-availability MySQL database cluster orchestration using Docker Swarm","Cloud & DevOps"
"Cloud cost optimization script identifying unattached AWS EBS volumes and EC2","Cloud & DevOps"
"Serverless event-driven architecture built with GCP Cloud Functions and Pub/Sub","Cloud & DevOps"
"Infrastructure automation testing script using Testinfra and Docker","Cloud & DevOps"
"Kubernetes cluster deployment automation using Kubeadm and Calico CNI","Cloud & DevOps"
"Edge computing deployment pipeline using K3s and Raspberry Pi nodes","Cloud & DevOps"
"Cloud service mesh configuration using Istio, Envoy, and Kubernetes","Cloud & DevOps"
"Network packet sniffer and port scanner built with C++ and socket programming","Cybersecurity & Systems"
"Vulnerability scanner and password security auditor written in Python","Cybersecurity & Systems"
"Operating system kernel driver and low-level memory management simulation in C","Cybersecurity & Systems"
"Cryptographic file encryption tool using AES-256 and RSA public key infrastructure","Cybersecurity & Systems"
"Intrusion detection system IDS monitoring network traffic anomalies in C++","Cybersecurity & Systems"
"Malware reverse engineering and static analysis toolkit using Python and Volatility","Cybersecurity & Systems"
"Web application firewall WAF filtering SQL injection and XSS attacks","Cybersecurity & Systems"
"Embedded systems firmware for ARM Cortex-M microcontrollers using C and FreeRTOS","Cybersecurity & Systems"
"Wireless network security auditor testing WPA2 handshake capture in Python","Cybersecurity & Systems"
"Secure password manager using Argon2 key derivation and AES-GCM encryption","Cybersecurity & Systems"
"Linux kernel module for monitoring process creation and syscall auditing","Cybersecurity & Systems"
"Hardware Security Module HSM integration library written in C++","Cybersecurity & Systems"
"Network vulnerability scanner utilizing Nmap scripts and Python reporting","Cybersecurity & Systems"
"Embedded IoT microcontroller firmware written in Rust for ESP32 hardware","Cybersecurity & Systems"
"Zero-trust authentication proxy enforcing mTLS mutual TLS certificates","Cybersecurity & Systems"
"Buffer overflow exploit mitigation demonstrator and shellcode lab in C","Cybersecurity & Systems"
"Penetration testing payload generator written in Python and Bash","Cybersecurity & Systems"
"Secure VPN tunnel client using WireGuard protocol in C","Cybersecurity & Systems"
"Steganography tool hiding encrypted payload messages inside PNG images","Cybersecurity & Systems"
"Active Directory security auditor analyzing Kerberoasting and BloodHound paths","Cybersecurity & Systems"
"Firmware update verification tool using SHA-256 cryptographic signatures","Cybersecurity & Systems"
"Network protocol analyzer and dissector written in C for Wireshark","Cybersecurity & Systems"
"Keylogger detection and prevention software for Windows using C++ WinAPI","Cybersecurity & Systems"
"Rootkit detector checking Linux kernel symbol table integrity","Cybersecurity & Systems"
"SIEM log analyzer detecting brute-force SSH login attempts in Python","Cybersecurity & Systems"
